# py -c 'import sys,pstats;pstats.Stats("eventlethello.prof").strip_dirs().sort_stats("cumulative").print_stats()' | mate

Mon May  4 23:20:16 2009    eventlethello.prof

         1871962 function calls (1816583 primitive calls) in 44.689 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5003/5002    0.021    0.000   44.901    0.009 wrappedfd.py:161(accept)
     21/4    0.000    0.000   44.680   11.170 api.py:117(trampoline)
       18   41.732    2.318   41.732    2.318 {built-in method poll}
      2/1    0.000    0.000   11.215   11.215 <string>:1(<module>)
      2/1    0.000    0.000   11.215   11.215 eventlethello.py:22(main)
      2/1    0.000    0.000   11.215   11.215 httpd.py:564(server)
     5004    0.006    0.000    8.289    0.002 pollhub.py:145(wait)
        1    0.000    0.000    8.266    8.266 runloop.py:77(run)
     5001    0.066    0.000    2.117    0.000 api.py:227(sleep)
5008/4989    0.015    0.000    1.598    0.000 coros.py:477(_safe_apply)
5008/4989    0.106    0.000    1.583    0.000 httpd.py:442(handle)
     5001    0.012    0.000    0.473    0.000 eventlethello.py:10(handle_request)
     5001    0.058    0.000    0.418    0.000 BaseHTTPServer.py:219(parse_request)
     5001    0.011    0.000    0.417    0.000 httpd.py:185(write)
     5001    0.026    0.000    0.405    0.000 httpd.py:201(_write_bytes)
     5001    0.026    0.000    0.338    0.000 mimetools.py:15(__init__)
    40129    0.060    0.000    0.303    0.000 greenlib.py:254(_greenlet_context_call)
10009/10002    0.042    0.000    0.286    0.000 timer.py:73(__call__)
5013/5004    0.053    0.000    0.283    0.000 runloop.py:201(fire_timers)
     5001    0.119    0.000    0.249    0.000 httpd.py:142(begin_response)
     5001    0.010    0.000    0.249    0.000 rfc822.py:84(__init__)
     5001    0.103    0.000    0.239    0.000 rfc822.py:118(readheaders)
     5002    0.038    0.000    0.198    0.000 wrappedfd.py:140(close)
    40129    0.075    0.000    0.189    0.000 greenlib.py:246(_greenlet_context)
25013/24946    0.032    0.000    0.185    0.000 wrappedfd.py:229(readline)
    15004    0.029    0.000    0.182    0.000 pollhub.py:55(schedule_call)
25013/24946    0.073    0.000    0.153    0.000 wrappedfd.py:199(readuntil)
    15004    0.049    0.000    0.153    0.000 runloop.py:183(schedule_call)
5009/5001    0.005    0.000    0.150    0.000 coros.py:550(execute_async)
5009/5001    0.013    0.000    0.145    0.000 coros.py:497(_execute)
     5006    0.005    0.000    0.131    0.000 util.py:158(socket_accept)
     5006    0.023    0.000    0.126    0.000 socket.py:171(accept)
     5002    0.024    0.000    0.121    0.000 socket.py:164(close)
     5001    0.004    0.000    0.117    0.000 wrappedfd.py:196(write)
     5001    0.010    0.000    0.113    0.000 wrappedfd.py:189(sendall)
    40129    0.103    0.000    0.108    0.000 greenlib.py:235(greenlet_dict)
    60024    0.107    0.000    0.107    0.000 {setattr}
     4987    0.013    0.000    0.106    0.000 coros.py:226(_do_send)
     5001    0.010    0.000    0.101    0.000 wrappedfd.py:57(send)
     9990    0.027    0.000    0.096    0.000 coros.py:193(send)
     5001    0.006    0.000    0.092    0.000 util.py:166(socket_send)
     5002    0.010    0.000    0.086    0.000 api.py:177(exc_after)
     5001    0.086    0.000    0.086    0.000 {method 'send' of '_socket.socket' objects}
